Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,-0.46970083705963545,,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
emissivity,0.5279701635840099,0.0035706776916462034,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
NDVI,-0.12167027328748756,5.229864573243522e-17,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
albedo,0.060906127754995945,0.14239419099248524,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
wind_speed_mps,0.004171445394458265,0.012924922141324983,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
ST_C,0.0029859629052005903,7.049549461519566e-29,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
canopy_height_meters,0.0019249076301417047,2.8941595253530066e-08,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
SZA_deg,0.0010534856006814677,3.041054988124462e-07,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
elevation_m,-8.28438820522011e-06,0.07229754192481769,RH,0.25389217243899886,0.07068520978493525,0.05488514641496363
