Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,3.34036389521661,,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
emissivity,-2.268702077869225,0.5589597208656105,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
NDVI,1.6812490299641343,1.671232993202685e-07,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
albedo,0.3502767704428167,0.7076113925187715,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
wind_speed_mps,-0.12358931336894904,0.0009114142167222853,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
canopy_height_meters,-0.02320605692304631,0.002291646972153182,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
SZA_deg,-0.020749262110097783,5.426507565346336e-06,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
ST_C,-0.00935739782703343,0.107824007521234,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
elevation_m,0.0017343009224607157,1.9358836178195766e-56,Ta_C,0.2660359917400552,1.5963783339389612,1.2074441091484438
