Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,0.2732530068230943,,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
emissivity,-0.13086971047665116,0.405310946666517,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
albedo,0.05653568668569157,0.11739958416241207,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
NDVI,0.03792403655360725,0.0022885941147354387,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
wind_speed_mps,-0.004366853403903155,0.0027848704409883206,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
ST_C,-0.0017420192435854945,2.8090968920287025e-14,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
canopy_height_meters,-0.0006316365502669685,0.03510804427348851,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
SZA_deg,-0.0005208201424788698,0.0034546777878337476,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
elevation_m,-6.063771184728288e-06,0.13024296755159837,RH,0.14192562204388237,0.06146631295081173,0.043721164581635996
