Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,-0.6191992948700289,,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
emissivity,0.6279905402149681,0.013898056659737885,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
NDVI,-0.18070455605323518,1.2127437129213183e-18,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
albedo,-0.04582126887917016,0.43355175223411163,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
wind_speed_mps,0.009642481747156833,4.7923067114028536e-05,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
ST_C,0.003983662275521938,3.472136331243219e-26,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
canopy_height_meters,0.002940766427744239,1.9235425161873614e-09,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
SZA_deg,0.0010608791670105341,0.00024305940425085236,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
elevation_m,3.949466718984126e-06,0.5430590775791633,RH,0.293810089462476,0.09964984749546885,0.07434436729448979
