Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,-0.3301346323144091,,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
emissivity,0.3069410372934291,0.205741948820677,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
NDVI,0.06406338957637021,0.002050508559569315,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
albedo,0.03434913103804885,0.5469301551390334,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
wind_speed_mps,-0.005045643721015849,0.033930636875010134,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
canopy_height_meters,-0.0019739438098752026,2.6838672267079264e-05,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
SZA_deg,0.0004878307249204281,0.08635881104276222,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
ST_C,0.00015157440811730042,0.6824991253787006,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
elevation_m,3.135537130732574e-05,4.695932239792302e-06,SM,0.05770532934702555,0.09095472357142374,0.062180601011253764
