Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,0.29074617211540604,,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
emissivity,-0.23554591354056778,0.15385360246065113,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
NDVI,0.09679661000565125,1.323558147916226e-11,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
albedo,-0.012874150300323984,0.7401683862792374,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
wind_speed_mps,0.001858876811085838,0.25065344707012605,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
canopy_height_meters,-0.0012051088607836831,0.0001639196524222951,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
ST_C,-0.0011480857064412673,6.104636165317589e-06,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
SZA_deg,-1.3693786523012825e-05,0.9435813443821364,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
elevation_m,4.422652436440394e-06,0.33996776887540564,SM,0.1275445504126974,0.06192529284863464,0.04335464479191241
