Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,2.584763102912262,,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
emissivity,-1.7305986814121086,0.6055396748476494,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
NDVI,1.2831333929833815,3.600355578544028e-06,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
albedo,0.3136056002052732,0.697255780875616,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
wind_speed_mps,-0.10446375863551323,0.0011621411437148714,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
canopy_height_meters,-0.013188886323250229,0.04438086202609423,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
ST_C,-0.01136561678545066,0.023735563556679353,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
SZA_deg,0.0027014134326260627,0.4906523016828461,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
elevation_m,0.0006502863788218417,5.128501191101066e-13,Ta_C,0.07885194965608511,1.3779533808057136,1.0621892676036546
