Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,5.40631957157313,,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
emissivity,-5.5160139227709335,0.29517947742134415,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
NDVI,1.9015555432460507,1.2429874969306756e-05,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
albedo,1.4615705075273506,0.24894586588488082,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
wind_speed_mps,-0.07456908684189771,0.13948298531778366,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
SZA_deg,-0.04355025711997686,2.8336491987127673e-12,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
canopy_height_meters,-0.03396931852154241,0.0010079462832493196,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
elevation_m,0.0022027574743657356,2.444924530591848e-50,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
ST_C,0.00015005613811803532,0.9848299020692938,Ta_C,0.2973116905767059,2.1663603033088283,1.6222898987978065
