Variable,Coefficient,p_value,Model,R2,RMSE,MAE
Intercept,0.3547029985755995,,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
emissivity,-0.2989258972143673,0.06306122611308033,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
NDVI,0.09514229692351168,8.401970410621984e-12,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
albedo,0.005665175266669244,0.8808034444321202,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
wind_speed_mps,0.003803443311133826,0.015871790303119786,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
ST_C,-0.0012264190783364817,7.122566169510668e-07,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
canopy_height_meters,-0.0007357645058862115,0.01775860151876299,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
SZA_deg,-0.000265026097102525,0.1595779042211248,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
elevation_m,-5.028354990766093e-06,0.26499886798357075,SM,0.17570542581608395,0.060267053196858045,0.041799997853265686
